,Customer ID,Churn Date,Plan Name,Plan Amount ($),Churn Reason
0,5c000bdd62d5bcb1d033b15f,10-09-2021,Buffer Analyze - Full Price 10 Social Channels,50,others
1,5c374d855542492009f39fc2,18-08-2021,Pro8 v1 - Monthly,15,not-using-anymore
2,5c374d885542492009f3a30e,08-10-2021,Pro8 v1 - Monthly,15,not-using-anymore
3,5c374d895542492009f3a485,20-07-2021,Small Business v2 - Monthly,99,others
4,5c374d8f5542492009f3acf0,05-11-2021,Pro8 v1 - Yearly,144,not-using-anymore
5,5c374d925542492009f3b01e,05-08-2021,Pro8 v1 - Yearly,144,not-using-anymore
6,5c374d975542492009f3b779,03-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
7,5c374d9c5542492009f3bda3,06-09-2021,Pro8 v1 - Yearly,144,not-using-anymore
8,5c374d9f5542492009f3c29a,12-09-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
9,5c374da65542492009f3cbc7,22-08-2021,Pro8 v1 - Monthly,15,others
10,5c374daa5542492009f3d144,07-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
11,5c374db85542492009f3e4c8,15-12-2021,Pro8 v1 - Monthly,15,not-using-anymore
12,5c374dbf5542492009f3eeb7,29-08-2021,Pro8 v1 - Monthly,15,others
13,5c374dc45542492009f3f452,21-07-2021,Pro8 v1 - Monthly,15,missing-features
14,5c374dc65542492009f3f789,24-08-2021,Pro8 v1 - Monthly,15,bugs
15,5c374dd55542492009f40bc4,24-07-2021,Pro8 v1 - Yearly,144,not-using-anymore
16,5c374dd75542492009f40e2b,02-07-2021,Pro8 v1 - Monthly,15,too-expensive
17,5c374dd85542492009f40f99,07-09-2021,Premium Business v1 - Yearly,663,too-expensive
18,5c7fe31b3425707f05a612d1,21-08-2021,Pro8 v1 - Monthly,15,too-expensive
19,5c8de6297214d9738e4dcd27,17-08-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
20,5ca1d1ed30113038c6fadad6,16-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
21,5ca1d1f030113038c6fafb2a,14-09-2021,Pro8 v1 - Monthly,15,bugs
22,5ca1d1f330113038c6fb11b3,25-12-2021,Pro8 v1 - Monthly,15,not-using-anymore
23,5ca1d1f61d99bc38dbee16e2,02-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
24,5ca1d1f730113038c6fb242e,07-10-2021,Pro8 v1 - Monthly,15,others
25,5ca1d1f930113038c6fb2d14,10-10-2021,Pro8 v1 - Yearly,144,not-using-anymore
26,5ca1d1fa30113038c6fb2f17,28-10-2021,Pro8 v1 - Yearly,144,not-using-anymore
27,5ca1d1fd1d99bc38dbee2c28,07-11-2021,Pro8 v1 - Yearly,144,not-using-anymore
28,5ca1d20269ec79395e76377a,04-10-2021,Pro8 v1 - Monthly,15,not-using-anymore
29,5ca1d20369ec79395e763a32,04-12-2021,Pro8 v1 - Monthly,15,not-using-anymore
30,5ca1d20530113038c6fb4706,03-09-2021,Pro8 v1 - Yearly,144,too-expensive
31,5ca1d2137ace10391ade8b77,11-09-2021,Premium Business v1 - Monthly,65,too-expensive
32,5ca1d21869ec79395e765ce1,01-12-2021,Pro8 v1 - Monthly,15,not-using-anymore
33,5ca1d21b30113038c6fb6de7,11-11-2021,Pro8 v1 - Monthly,15,not-using-anymore
34,5ca1d21b905a7a39498311ce,22-08-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
35,5ca1d21c30113038c6fb7456,20-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
36,5ca1d21dfd16da398241c551,12-11-2021,Pro8 v1 - Yearly,144,others
37,5ca1d2251d99bc38dbee76cc,12-12-2021,Small Business v2 - Monthly,99,not-using-anymore
38,5ca1d22569ec79395e766f3b,11-07-2021,Small Business v2 - Yearly,">= 1,000",not-using-anymore
39,5ca1d226905a7a394983264d,07-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
40,5ca1d227fd16da398241d906,19-10-2021,Pro8 v1 - Monthly,15,others
41,5ca1d22a69ec79395e7679a9,30-11-2021,Pro8 v1 - Monthly,15,not-using-anymore
42,5ca1d22d1d99bc38dbee7f59,19-09-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
43,5ca1d235fd16da398241efbb,19-08-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
44,5ca1d2371d99bc38dbee9378,16-07-2021,Pro8 v1 - Monthly,15,not-using-anymore
45,5ca1d23c69ec79395e7699a9,14-10-2021,Pro8 v1 - Monthly,15,missing-features
46,5ca1d23c7ace10391aded5e4,19-07-2021,Pro8 v1 - Monthly,15,others
47,5ca1d23c905a7a3949834d84,16-09-2021,Premium Business v1 - Monthly,65,others
48,5ca1d24169ec79395e76a009,26-10-2021,Pro8 v1 - Yearly,144,not-using-anymore
49,5ca1d241fd16da398242063d,07-08-2021,Pro8 v1 - Yearly,144,not-using-anymore
50,5ca1d24569ec79395e76aab0,27-11-2021,Small Business v2 - Monthly,99,not-using-anymore
51,5ca1d24730113038c6fbc221,02-10-2021,Pro8 v1 - Monthly,15,not-using-anymore
52,5ca1d2487ace10391adee69d,11-08-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
53,5ca1d24e905a7a3949836db2,18-08-2021,Premium Business v1 - Monthly,65,not-using-anymore
54,5ca1d25383663e38f38e3abc,28-09-2021,Pro8 v1 - Yearly,144,not-using-anymore
55,5ca1d2551d99bc38dbeecccd,10-11-2021,Pro8 v1 - Monthly,15,not-using-anymore
56,5ca1d2557ace10391adefdab,09-12-2021,Pro8 v1 - Monthly,15,others
57,5ca1d25783663e38f38e42f1,19-08-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
58,5ca1d25969ec79395e76cc6a,14-10-2021,Small Business v2 - Monthly,99,not-using-anymore
59,5ca1d25b905a7a3949837fba,14-12-2021,Pro8 v1 - Yearly,144,missing-features
60,5ca1d260fd16da3982423df1,24-07-2021,Small Business v2 - Monthly,99,others
61,5ca1d26530113038c6fbf8df,29-08-2021,Pro8 v1 - Monthly,15,not-using-anymore
62,5ca1d269905a7a3949839916,24-07-2021,Pro8 v1 - Monthly,15,missing-features
63,5ca1d26d30113038c6fc0302,16-09-2021,Premium Business v1 - Yearly,663,not-using-anymore
64,5ca1d26d83663e38f38e6fb7,25-09-2021,Pro8 v1 - Monthly,15,not-using-anymore
65,5ca1d26f1d99bc38dbeef604,05-12-2021,Small Business v2 - Monthly,99,extenuating-circumstances
66,5ca1d26f1d99bc38dbeefa3d,05-09-2021,Pro8 v1 - Monthly,15,missing-features
67,5ca1d27130113038c6fc0963,11-09-2021,Pro8 v1 - Monthly,15,others
68,5ca1d27130113038c6fc0963,28-09-2021,Essentials + Team Pack,24,others
69,5ca1d27183663e38f38e71a4,14-10-2021,Pro8 v1 - Yearly,144,too-expensive
70,5ca1d27183663e38f38e72fe,08-10-2021,Pro8 v1 - Monthly,15,extenuating-circumstances
